血液ガス分析の正常値はPaO2が{{c1::80}}～{{c1::100}}Torr，PaCO2が{{c1::40}}±{{c1::5}}Torr．	
過粘稠症候群では、{{c1::出血}}傾向、{{c1::精神神経}}症状、{{c1::視力}}障害、{{c1::Raynaud}}症状、{{c1::悪心}}・{{c1::嘔吐}}などをきたす。	
MRSAは保菌している段階で治療を開始{{c1::しない}}.	
子宮収縮促進薬は ●{{c1::微弱陣痛}} ●{{c1::弛緩出血}} ●{{c1::子宮復古不全}} などに適応がある。	
神経鞘腫に特徴的な病理学的所見は核の{{c1::柵状配列}}である。	
{{c1::アレルギー性気管支肺アスペルギルス}}症は気道内に定着したアスペルギルスに対し{{c2::Ⅰ}}・{{c2::Ⅲ}}・{{c2::Ⅳ}}型アレルギー反応を来した状態であり、{{c2::経口ステロイド}}長期投与が第1選択である。	
{{c1::WAIS-Ⅲ}}は，平均知能を100とする成人向け知能検査であるが，{{c2::自閉}}症では，全知能指数が概ね85以上となり，知的な遅れを認めない．さらには下位項目間で大きなばらつきがみられるので，特徴が見出しやすい．	
{{c1::膵管内乳頭粘液性}}腫瘍は粘液貯留による{{c2::膵管拡張}}を特徴とする膵管{{c2::上皮}}系の腫瘍である。	
高齢者は発熱してもその程度が{{c1::弱い}}ことがある	
shock indexと推定出血量(%)の関係 0.5 → <{{c1::15}} 1.0 → {{c1::15}}~{{c1::30}} 1.5 → {{c1::30}}~{{c1::40}} 2.0 → {{c1::40}}<	
近位尿細管では，{{c1::グルコース}}，{{c1::アミノ}}酸，{{c1::リン}}酸，{{c1::重炭}}酸、{{c1::尿}}酸などが再吸収される.	
くる病では、骨端線の{{c1::拡大}}や{{c1::不整}}，骨幹端の{{c1::杯}}状変形，下肢などの{{c1::骨変形}}がみられる。	
ATL細胞はCD{{c1::4}}陽性である。 HIVはCD{{c1::4}}陽性の細胞に感染する。	
大量喫煙者にみられる血液疾患として、しばしば中等度の{{c1::赤血球増加}}症がみられる．	
上腕二頭筋の支配レベルはC{{c1::5〜6}}である.	
大腿骨骨折に対しては術前から健側の{{c1::運動療法}}を行うことで、術後の早期離床が可能となる	
血液培養では、検出率を上げるため，またコンタミネーションか真の起因菌かを判断するために{{c1::複数}}部位から採取する．	
鎖肛の治療は病型別に異なる． ・低位型では新生児早期に{{c1::会陰式根治}}術（{{c1::肛門形成}}術）を行う． ・中間位型・高位型では新生児期に{{c1::人工肛門造設}}を行い，生後3ヵ月・体重6 kg程度で{{c1::根治}}術（{{c1::肛門形成}}術）を行う	
診断的羊水穿刺の目的は、{{c1::染色体}}異常、{{c1::遺伝子}}異常、{{c1::代謝}}異常、{{c1::母子感染}}症、胎児{{c1::貧血}}、{{c1::絨毛膜羊膜}}炎、{{c1::胎児肺成熟}}度などの検査である。	
正期産は妊娠{{c1::37}}週{{c1::0}}日～妊娠{{c1::41}}週{{c1::6}}日までである	
{{c2::アトロピン}}は{{c1::副交感}}神経の抑制により{{c1::頻}}脈が悪化するため、{{c1::頻}}脈の場合には禁忌である	
{{c1::がん悪液質}}とは，癌の進行とともに食欲不振や体重減少をきたし，次第に不可逆的な{{c2::栄養不良}}に陥る病態である．{{c2::食事摂取}}量の減少，および代謝異常による{{c2::栄養不良}}症候群（蛋白・エネルギー喪失状態）であり，著しい{{c2::筋肉量}}減少を呈する．	カヘキシア，cachexiaともいう
末梢病変の気管支鏡検査の場合、病変の位置確認の目的で{{c1::X線透視}}を使用することがある。	
悪性リンパ腫の病期分類(AnnArbor分類)の概要： ・リンパ節腫脹が{{c1::横隔膜を挟んで片側のみに存在}}(stage Ⅰ or Ⅱ) 　リンパ節腫脹が{{c1::1}}領域→stageⅠ 　リンパ節腫脹が{{c1::複数}}領域→stageⅡ ・リンパ節腫脹が{{c1::横隔膜を挟んで両側}}に存在(stage Ⅲ or Ⅳ) 　非リンパ性臓器浸潤が{{c1::限局}}性 and/or {{c1::脾}}浸潤→stage Ⅲ 　非リンパ性臓器浸潤が{{c1::びまん}}性・{{c1::散在}}性({{c1::肝}}・{{c1::骨髄}})→stage Ⅳ ※{{c1::B症状}}がなければA，あればBをつける．{{c1::巨大腫瘤}}があればXをつける．	
抗菌薬の薬学。 濃度依存性 {{c1::キノロン}}系 {{c1::アミノグリコシド}}系 時間依存性抗菌薬 {{c1::β-ラクタム}}系 {{c1::バンコマイシン}} {{c1::マクロライド}}系 {{c1::クリンダマイシン}}	
{{c2::Minnesota}}多面人格検査 {{c1::質問紙}}による人格検査で，550の項目に{{c1::自記}}式で答える．{{c1::人格}}特性をとらえるものである。	〈MMPI〉
{{c1::Beck}}のうつ病自己評価尺度 {{c2::質問紙}}による{{c2::うつ}}病の自己評価検査で，21項目に{{c2::自記}}式で答える．{{c2::うつ}}病の評価に用いる。	
{{c1::サイログロブリン}}は甲状腺内にてT3やT4を合成するのに重要な役割を担う糖タンパクである。	
淋菌は{{c1::ナイセリア}}属のグラム{{c1::陰}}性{{c1::双球}}菌である。	
多発性囊胞腎では，6～16％の症例に{{c1::頭蓋内動脈瘤}}を合併する．多発性囊胞腎診断時の検索が重要である．	
精神福祉保険法において、{{c1::応急}}入院は、 ・急速を要し，{{c2::保護者}}の同意が得られない 状況で、 ・{{c2::1}}名の精神保健指定医の診察 ・72時間を超えることができない の条件で適応となる。	
{{c1::リスペリドン}}は非定型抗精神病薬のうちのセロトニン・ドパミン拮抗薬（SDA）で，定型精神病薬と比較して副作用（錐体外路症状）が少ないことから{{c2::統合失調}}症の第一選択薬として用いられ，{{c2::幻覚妄想}}の軽減に有効である．	
チアノーゼ性心疾患により{{c1::高}}ヘモグロビン血症をきたす．	
Reynaud症候群の基礎疾患 ・{{c1::膠原}}病 ・{{c1::外傷}}性 ・{{c1::閉塞性動脈}}疾患 その他：クリオグロブリン血症，寒冷凝集素症，{{c1::胸郭出口}}症候群，甲状腺機能{{c1::低下}}症，β{{c1::遮断}}薬内服など	
糖尿病における色素沈着は，高度の{{c1::高インスリン}}血症の際に出現する．	
{{c1::拡張型心筋}}症は多くの場合，原因不明の心筋の変性疾患で，心筋の肥大に比べて，心室内腔の著明な{{c2::拡張}}と心筋{{c2::収縮}}機能の著しい低下のために，{{c2::うっ血性心不全}}を呈する	
婦人科疾患と帯下の特徴の組合せ 細菌性腟症 － {{c1::灰}}色 萎縮性腟炎 － {{c1::淡血}}性 腟カンジダ症 － {{c1::白}}色・{{c1::酒粕}}状 トリコモナス腟炎 － {{c1::黄緑}}色・{{c1::泡沫}}状	細菌性膣症で黄色とする出題歴もある。
透析と疾患。ABCの疾患名は？	A: 糖尿病性腎症 B: 慢性糸球体腎炎 C: 腎硬化症
急性カドミウム中毒 経口摂取→{{c1::腎}}障害 経気道→{{c1::肺水腫}} 慢性カドミウム中毒 {{c1::腎}}障害・{{c1::骨軟化}}症など	
ヒ素中毒による皮膚症状 ・{{c1::接触皮膚}}炎 ・{{c1::ヒ素}}疹（{{c1::痤瘡}}様発疹） ・{{c1::Mees}}線（{{c1::爪}}の白線） ・ヒ素{{c1::角化}}症 ・ヒ素{{c1::黒皮}}症 ・{{c1::Bowen}}病（暴露後10数年後） その他 {{c2::鼻中隔}}穿孔、{{c2::肺}}癌、{{c2::多発神経}}炎	
{{c1::慢性肉芽腫}}症は、{{c2::NADPHオキシダーゼ}}の異常により{{c2::食}}細胞の活性酸素産生障害が起こり、{{c2::殺菌}}能障害を来す原発性免疫不全症である。カタラーゼ産生菌感染により，諸臓器に{{c2::肉芽腫}}形成を伴うことが特徴である．	
{{c1::コレステロール塞栓}}は、{{c2::粥状動脈硬化症}}症例で{{c2::カテーテル}}などの血管内操作により動脈壁粥腫が破綻し，コレステロール結晶が末梢に散布される結果，{{c2::皮膚}}，{{c2::腎}}，{{c2::消化管}}，{{c2::中枢神経}}系などに塞栓を生じて組織循環不全を来す病態である。	
血清IgAはIgA腎症患者の半数で高値となり、IgA濃度と腎機能低下には関連が{{c1::ない}}	
肥満の発生原因から，{{c1::原発}}性（{{c1::単純}}性）肥満（約90％）と{{c1::二次}}性（{{c1::症候}}性）肥満（約10％）に分類される．症候性の大部分は{{c1::内分泌}}疾患に伴うものである．	
子癇は妊娠{{c1::20}}週以降に起こるけいれん発作であり，てんかんや二次性けいれんが否定される場合に診断される．病態的には，脳血管の{{c1::透過}}性亢進に伴う脳の血管性{{c1::浮腫}}が原因と考えられている。	
経母乳感染しうるウイルスは{{c1::HTLV-1}}、{{c1::HIV}}、{{c1::CMV}}である。	
膀胱癌のリスクには{{c1::喫煙}}，発癌化学薬品（{{c1::ベンジジン}}，{{c1::芳香族アミン}}など）への曝露が挙げられる．	
自閉症では{{c1::感覚過敏}}を伴うことが多く，「パニック」の原因となる．	
肘管部でのTinel徴候は{{c1::肘部管}}症候群でみられる．手根管症候群でみられるのは，{{c1::手根}}部でのTinel徴候である	
房室結節を栄養する房室結節枝は{{c1::右冠動脈}}から分枝することが多い（90％）．	
下壁梗塞は{{c1::右冠動脈}}が閉塞して生じる。	
鎮静薬である{{c1::プロポフォール}}，{{c1::セボフルラン}}，{{c1::デスフルラン}}や鎮痛薬（オピオイド）である{{c1::レミフェンタニル}}，{{c1::フェンタニル}}は{{c2::交感神経}}を抑制し，血管{{c2::拡張}}作用を有する．	
成長ホルモン分泌不全の診断は、{{c1::低身長}}と{{c1::GH分泌不全}}を証明する事である。	
尿酸は近位尿細管で{{c1::分泌}}、{{c1::再吸収}}の両方が行われている。腎不全の際は{{c1::排出}}が低下する。ファンコニー症候群では{{c1::再吸収}}が低下する。	
ヘパリンの投与量は，血中濃度ではなく{{c1::活性化部分トロンボプラスチン時間}}（{{c1::APTT}}）が正常値の2～3倍になるようコントロールする．	Activated partial thromboplastin time
血球貪食症候群では、{{c1::悪性リンパ腫}}や{{c1::ウイルス感染}}などが引き金となり，活性化された{{c1::マクロファージ}}・組織球が自己の血球を貪食し，さらにマクロファージ等より産生される種々の{{c1::サイトカイン}}の作用が加わり，{{c1::血球}}減少，{{c1::高熱}}，{{c1::肝脾腫}}，{{c1::凝固}}異常を呈する．	
重症の急性膵炎に対して予防的に{{c1::抗菌薬}}を投与することがある。{{c1::ステロイド}}は使わない。	
神経病性関節症（Charcot関節）は、糖尿病や脊髄空洞症，梅毒などにより脊髄{{c1::後索}}と{{c1::後根}}が傷害され下半身の{{c1::痛み}}を感じにくくなるために起こる病態である．関節の破壊が高度であるが，{{c1::痛み}}をあまり感じない．治療としては，{{c2::装具}}治療，{{c2::関節固定}}術を行う．	
手根管症候群の治療は、Tinel徴候，正中神経支配領域の知覚異常のみであれば、{{c1::手}}関節{{c1::固定装具}}装着，手根管内{{c1::ステロイド薬注入}}療法などである。 明らかな短母指外転筋の筋力低下，萎縮や、手根管部を通過しての知覚，運動線維伝導速度の明瞭な低下などを認めた場合は、{{c1::手根管開放}}術などの除圧手術も検討される。	
血清ACEの上昇する肺疾患 ・{{c1::サルコイドーシス}} ・{{c1::過敏性肺炎}} ・{{c1::珪肺}}	
前立腺肥大症の外科手術で第一選択となるのは、{{c1::経尿道}}的手術である。	
溶連菌感染後急性糸球体腎炎の急性期治療の原則は，{{c1::対症}}療法での{{c1::経過観察}}である．	
急性肝不全の死因は頻度順に、{{c1::DIC}}、{{c1::腎不全}}、{{c1::感染症}}、{{c1::脳浮腫}}、{{c1::消化管出血}}が挙げられる。	
知能検査には田中・Binet式知能検査，Wechsler児童用知能検査(WISC-Ⅳ)，Wechsler成人用知能検査(WAIS-Ⅲ)がある．田中・Binet式は{{c1::2}}歳以降に用い，下位項目が{{c1::ない}}．WISC-Ⅳ，WAIS-Ⅲは共に下位項目が{{c1::あり}}，項目間のばらつきを比較することで発達障害の診断・治療に活用する．WISC-Ⅳは{{c1::16}}歳未満，WAIS-Ⅲはそれ以降に用いる．	
発達検査である津守・稲毛式発達検査は{{c1::0}}～{{c1::7}}歳が対象で，主に母に質問する．	
性格検査のうち{{c1::質問紙}}法の検査に，Minnesota多面人格検査({{c1::MMPI}}；550問の質問にYes/Noで答える)と矢田部-Guilford性格テスト({{c1::Y-G}}テスト；12個の性格特性を調べる)がある．	
性格検査のうち投影法の検査に{{c1::Rorschach}}テスト(絵をみる)， {{c1::バウム}}テスト(木を描く)，絵画統覚テスト({{c1::TAT}}；絵の感想を述べる)があり，投影法かつ{{c1::自記}}式の検査に文章完成テスト({{c1::SCT}}；文章を完成させる)，{{c1::P-Fスタディ}}(ストレス状況への対応をみる)がある．	
{{c1::前頭葉}}機能検査にはウィスコンシンカードソーティングテスト({{c1::WCST}}；カードを分類する，遂行機能検査)がある．	
自記式のスクリーニング検査に{{c1::Beck}}のうつ病自己評価尺度，状態・特性不安検査({{c1::STAI}})などがある．	
簡易精神症状評価尺度(BPRS)は主に{{c1::統合失調症}}の症状評価に用いる．	
放射線による細胞の突然変異で起こる障害を{{c1::確率}}的影響という．閾値(しきいち)は{{c1::なく}}，線量が多くなるほど発生頻度が高くなるが，少ない線量でも発生しうる．線量と発生頻度の関係は一次関数のようになる．重症度は線量に依存{{c1::しない}}．	
放射線による細胞死で起こる障害を{{c1::確定}}的影響という．線量が{{c1::閾値}}を超えない限り障害は出現せず，線量の増加とともに症状は{{c1::重篤}}化する．	
放射線の確率的影響 早期障害：なし ・晩期障害：{{c1::発がん}}(甲状腺{{c1::癌}}，{{c1::白血病}}など) ・{{c1::遺伝的}}影響(※ ただしヒトでは{{c1::確認されていない}})	
胆道癌や膵癌で{{c1::黄疸}}がある場合、腫瘍によって、胆汁の通り道が塞がれ肝臓の機能が低下するため、そのままでは手術や抗がん剤による治療を行うのが難しい。そのためまずは{{c1::減黄}}処置をおこなう。 {{c1::減黄}}処置には2種類あり、{{c1::ERBD}}（{{c1::内視鏡的逆行性}}胆管ドレナージ）と、{{c1::PTBD}}（{{c1::経皮経肝胆管}}ドレナージ）という方法がある。	
選択的副腎静脈採血は主に{{c1::原発性アルドステロン症}}の局在診断を目的として行われる検査である．	
不安定狭心症は{{c1::緊急血行再建}}術（冠動脈形成術（{{c1::PCI}}）もしくは冠動脈バイパス術（{{c1::CABG}}））の適応となる．左冠動脈主幹部病変は{{c1::PCI}}でなく{{c1::CABG}}のよい適応である．	Percutaneous Coronary Intervention Coronary artery bypass grafting
結核を疑った際、喀痰塗抹染色陽性ならばすぐに{{c1::個室隔離}}する。	結核病棟ではない
表層型の{{c2::単純ヘルペス}}角膜炎では，角膜上皮が障害され，{{c1::点}}状→{{c1::線}}状→{{c1::樹枝}}状→{{c1::地図}}状角膜炎と発展し，特徴的な角膜{{c1::潰瘍}}所見を呈する	
肝内結石は{{c1::肝内胆管}}癌のリスクファクターである。	
収縮期の心エコー。所見は？	僧帽弁逸脱
嚥下障害の評価法 改訂{{c1::水飲み}}テスト {{c1::反復唾液嚥下}}テスト{{c1::嚥下造影}}{{c1::嚥下内視鏡}}検査	3ccの水をむせなく飲めるか評価する 30秒間に何回嚥下反射が出るか評価する。2回以下で陽性。 造影剤を嚥下し，X線透視で誤嚥がないか確認する 嚥下内視鏡で，直接誤嚥がないか確認する
喫煙はせん妄のリスクとな{{c1::らない}}．ニコチンの離脱はせん妄のリスクとな{{c1::る}}。	
経気管的に投与できる蘇生用薬剤 {{c1::リドカイン}}，{{c1::アドレナリン}}，{{c1::アトロピン}}，{{c1::ナロキソン}}，{{c1::バソプレシン}}	
{{c2::アレルギー性気管支肺アスペルギルス}}症は、難治性{{c1::喘息}}患者を診た場合や{{c1::気管支拡張}}症の患者が{{c1::気管支喘息}}や{{c1::肺炎}}の症状を呈する場合に考慮すべき病態である．	アレルギー性気管支肺アスペルギルスは1,3,4型アレルギーなので、1型アレルギーを反映して喘息の症状を呈することがある。
{{c1::離人}}症は自身の身体や知覚，行動が自らのものという実感が乏しい状態をいう．また，外界に対して現実感をもてない．	「何を食べても同じような感じで，砂をかんでいるようです」 「景色が生き生きと感じられません」 「嬉しいとか悲しいとかいう感じに実感が伴いません」 「自分の体から魂が抜け出したみたいで，自分を他人のように思ってしまいます」 「ご飯を食べても満腹感がなく，味もありません」
植込み型除細動器（ICD）は，{{c1::心室頻拍}}，{{c1::心室細動}}を停止させるデバイスであって，{{c1::上室}}性の不整脈（{{c1::上室頻拍}}，{{c1::心房細動}}など）に使われることは決してない	
MEN1: {{c1::pituitary}}, {{c1::parathyroid}}, {{c1::pancreas}} MEN2a: {{c1::parathyroid}}, {{c1::thyroid}}, {{c1::adrenal}} MEN2b: {{c1::neuron}}, {{c1::adrenal}}, {{c1::thyroid}}	下垂体腫瘍、副甲状腺腫、膵消化管内分泌腫瘍 甲状腺髄様癌、副甲状腺腫、褐色細胞腫 甲状腺髄様癌、多発性神経腫、褐色細胞腫
猩紅熱は{{c1::A群β溶血性連鎖球}}菌の{{c1::外毒素}}によって生じる、{{c1::紅斑}}と{{c1::粘膜疹}}である。	
{{c2::CLL}}の特徴は、本来{{c1::T}}細胞のマーカーであるCD{{c1::5}}が，CD{{c1::20}}，CD{{c1::23}}陽性の{{c1::B}}細胞に発現しているという点である．	
{{c2::流行性角結膜炎}}の三徴 ・{{c1::角膜上皮下混濁}} ・{{c1::急性濾胞性結膜炎}} ・{{c1::耳前リンパ節腫脹}}	濾胞性結膜炎はクラミジア結膜炎、アデノウイルス結膜炎およびアレルギー結膜炎などで増加する。
児頭が骨盤入口部に固定しない場合，総称として{{c1::児頭骨盤不均衡}}（{{c1::CPD}}）と呼ぶが，その内容として，{{c2::狭}}骨盤，骨盤内{{c2::腫瘍}}，軟産道{{c2::強靱}}，巨大児水頭症，重複奇形，胎位胎勢の異常，{{c2::応形}}機能不全，過{{c2::短}}臍帯，臍帯{{c2::巻絡}}，{{c2::前置}}胎盤などがある．	Cephalo-Pelvic Disproportion
アルコール性肝炎の組織所見としては，{{c1::好中球}}浸潤，{{c1::脂肪}}変性，{{c1::Mallory小}}体（{{c1::マロリー・デンク}}体），肝細胞の{{c1::風船}}様変性，肝細胞{{c1::周囲}}性{{c1::線維}}化などが特徴的である．	
毛様充血をきたす疾患 ①{{c1::虹彩毛様体炎}} ②{{c1::角膜潰瘍}} ③{{c1::急性閉塞隅角緑内障}} ④{{c1::強膜炎}}	
房水は{{c1::毛様体}}で産生され、{{c1::後房}}→{{c1::瞳孔}}→{{c1::前房}}→{{c1::隅角}}→{{c1::繊維柱帯}}と流れ、{{c1::シュレム管}}から排泄される。	
尿タンパク選択指数(SI)= {{c1::IgG}}のクリアランス/{{c1::トランスフェリン}}のクリアランス 値が大きいほど選択性が{{c1::低}}い。	IgGは高分子の代表。トランスフェリンは低分子の代表。
膀胱癌の特徴として，{{c1::空間}}的・{{c1::時間}}的{{c1::多発}}性がある．	
双極性障害に用いられる気分安定剤としては，{{c1::バルプロ酸}}、{{c1::炭酸リチウム}}，{{c1::カルバマゼピン}}などがある。	
全般性不安障害は，{{c1::対象が限定}}されない{{c1::持続}}的で{{c1::過剰}}な不安と緊張が特徴である。	
閉塞性肥大型心筋症では、{{c1::拡張}}不全や{{c1::左室流出路}}狭窄を呈する．	
閉塞性肥大型心筋症では第{{c1::3}}肋間胸骨{{c1::左}}縁で{{c1::頸部に放散}}しない{{c1::収縮期駆出性雑音}}を聴取する。	
閉塞性肥大型心筋症は、心電図で{{c1::左室負荷}}所見や{{c1::巨大陰性T波}}がみられる	
閉塞性肥大型心筋症のエコー所見として、M弁前尖の{{c1::収縮期前方運動}}が見られる。	左室流出路狭窄による。
閉塞性肥大型心筋症の治療は、いかに{{c1::左室流出路狭窄}}を軽減するかが重要である。そのためには{{c1::左室容量}}をある程度保つ必要があり，前負荷・後負荷を{{c1::上}}げ心収縮力を{{c1::下}}げればよい．	
閉塞性肥大型心筋症に対する降圧薬。 β遮断薬、Ca拮抗薬、硝酸薬のうち、病状を悪化させるのは{{c1::硝酸}}薬であり、残りは病状を改善する。	左室流出路狭窄の軽減には左室容量をある程度保つ必要があり，前負荷・後負荷を上げ心収縮力を下げればよい．Ca拮抗薬は心収縮力作用が高負荷軽減作用より大きい。
突然死をきたす遺伝性心疾患：{{c1::Brugada症候群}}，{{c1::QT延長症候群}}，{{c1::肥大型心筋症}}	
Hess赤緑試験は{{c1::麻痺筋}}を特定するために行う検査である．	
{{c1::Vogt-小柳-原田}}病の回復期には{{c2::夕焼け状}}眼底をみることがある．	
内耳道は{{c1::側頭}}骨にある。	
{{c2::白内障}}や{{c2::硝子体出血}}などで水晶体，硝子体の混濁が強く，眼底が透見できない場合に，視機能を推測する検査としては{{c1::網膜電図}}（{{c1::ERG}}）や{{c1::超音波B-mode}}検査がある。	
錐体細胞は{{c1::黄斑}}部に多い。	
網膜剥離の治療は裂孔のみであれば{{c1::レーザー光凝固}}、剥離もある場合は、{{c1::硝子体手術}}，{{c1::強膜内陥術}}，{{c1::ガス注入}}が行われる。	
周辺虹彩切除術は{{c1::急性緑内障発作}}の治療法である	
サルコイドーシスを疑った場合、確定診断のために{{c1::皮膚生検}}等を行う	
作為体験は{{c1::統合失調症}}に見られる。	
{{c1::硫酸マグネシウム}}は子癇に対する第一選択薬である。	
テトラサイクリン系抗菌薬の母体投与は、胎児に{{c1::歯牙の着色}}や{{c1::エナメル質形成不全}}を起こすことがある．	
侵入奇胎の治療は単剤化学療法，絨毛癌の治療は多剤併用化学療法である．いずれも{{c1::メトトレキサート}}や{{c1::アクチノマイシンD}}を用いる．	
溶血であっても必ずしも貧血なわけではない。溶血は{{c1::間接ビリルビン}}や{{c1::LDH}}などで評価する。	
溶血性貧血と診断したら，まず{{c1::Coombs試験}}を行い，{{c1::免疫性}}か{{c1::非免疫性}}かを鑑別診断する．	
調節力は{{c1::逆数}}の{{c1::引き}}算	
加齢黄斑変性の最大のリスクファクターは{{c1::加齢}}であるが，その他に{{c1::喫煙}}や{{c1::食生活}}との関与が指摘されている．	
小児の網膜剥離の手術に関して、一般的には小児では{{c1::強膜内陥術}}が第一適応である．	
インターフェロンγ遊離試験（IGRA）はツベルクリン反応と違って，{{c1::BCG}}およびM. kansasii，M. szulgai，M. marinumを除くほとんどの{{c1::NTM}}の影響を受けない優れた特長をもっている	非結核性抗酸菌
ジソピラミドには急性の{{c1::インスリン}}分泌促進作用があり，{{c1::低血糖}}を起こしうる．	頻脈性不整脈に対する薬剤 Class Ia
成人の細菌性髄膜炎の初期治療には{{c1::メロペネム}}(抗菌薬)が推奨されている．	欧米はバンコマイシン
十二指腸閉鎖症は{{c1::Down}}症候群に合併することがある	
ALLの治療は{{c1::ビンクリスチン}}+{{c1::アドリアマイシン}}+{{c1::プレドニゾロン}}	
